"Id"	"Runs"	"AgentCount"	"RedAgentPercentage"	"Stage1Rounds"	"Stage1Mode"	"Stage2Rounds"	"Stage2Mode"	"HawkPortion"	"PayoffReward"	"PayoffCost"	"FirstRoundHawkCountAvg"	"FirstRoundDoveCountAvg"	"FirstSeparationOfColors_Avg"	"FirstSeparationOfColors_Min"	"FirstSeparationOfColors_Max"	"FirstSeparationOfColors_Count"	"FirstSeparationOfColors_P"	"FirstSeparationOfColors_DominatedByRed_Count"	"FirstSeparationOfColors_DominatedByRed_P"	"FirstSeparationOfColors_DominatedByBlue_Count"	"FirstSeparationOfColors_DominatedByBlue_P"	"FirstSeparationOfColors_DominatedByNone_Count"	"FirstSeparationOfColors_DominatedByNone_P"	"LastRoundSeparationOfColors_DominatedByRed_Count"	"LastRoundSeparationOfColors_DominatedByRed_P"	"LastRoundSeparationOfColors_DominatedByBlue_Count"	"LastRoundSeparationOfColors_DominatedByBlue_P"	"LastRoundSeparationOfColors_DominatedByNone_Count"	"LastRoundSeparationOfColors_DominatedByNone_P"
"rerun_june2021"	"2000"	"200"	"10"	"0"	"None"	"250"	"stage2_dove"	"0.1"	"10"	"100"	"52.372"	"147.628"	"2.9805"	"2"	"7"	"2000"	"1"	"0"	"0"	"2000"	"1"	"0"	"0"	"0"	"0"	"2000"	"1"	"0"	"0"
"rerun_june2021"	"2000"	"200"	"10"	"0"	"None"	"250"	"stage2_dove"	"0.2"	"10"	"50"	"69.033"	"130.967"	"2.9195"	"2"	"6"	"2000"	"1"	"0"	"0"	"2000"	"1"	"0"	"0"	"0"	"0"	"2000"	"1"	"0"	"0"
"rerun_june2021"	"2000"	"200"	"10"	"0"	"None"	"250"	"stage2_dove"	"0.3"	"10"	"33.333333333333336"	"85.407"	"114.593"	"2.941"	"2"	"7"	"2000"	"1"	"0"	"0"	"2000"	"1"	"0"	"0"	"0"	"0"	"2000"	"1"	"0"	"0"
"rerun_june2021"	"2000"	"200"	"10"	"0"	"None"	"250"	"stage2_dove"	"0.4"	"10"	"25"	"101.8125"	"98.1875"	"3.0005"	"2"	"11"	"2000"	"1"	"0"	"0"	"2000"	"1"	"0"	"0"	"0"	"0"	"2000"	"1"	"0"	"0"
"rerun_june2021"	"2000"	"200"	"10"	"0"	"None"	"250"	"stage2_dove"	"0.5"	"10"	"20"	"118.05"	"81.95"	"3.513"	"2"	"11"	"2000"	"1"	"0"	"0"	"2000"	"1"	"0"	"0"	"0"	"0"	"2000"	"1"	"0"	"0"
"rerun_june2021"	"2000"	"200"	"10"	"0"	"None"	"250"	"stage2_dove"	"0.6"	"10"	"16.666666666666668"	"134.389"	"65.611"	"4.065"	"2"	"15"	"2000"	"1"	"0"	"0"	"2000"	"1"	"0"	"0"	"0"	"0"	"2000"	"1"	"0"	"0"
"rerun_june2021"	"2000"	"200"	"10"	"0"	"None"	"250"	"stage2_dove"	"0.7"	"10"	"14.285714285714286"	"150.9625"	"49.0375"	"5.807"	"2"	"24"	"2000"	"1"	"0"	"0"	"2000"	"1"	"0"	"0"	"0"	"0"	"2000"	"1"	"0"	"0"
"rerun_june2021"	"2000"	"200"	"10"	"0"	"None"	"250"	"stage2_dove"	"0.8"	"10"	"12.5"	"167.149"	"32.851"	"13.244"	"2"	"70"	"2000"	"1"	"0"	"0"	"2000"	"1"	"0"	"0"	"0"	"0"	"2000"	"1"	"0"	"0"
"rerun_june2021"	"2000"	"200"	"10"	"0"	"None"	"250"	"stage2_dove"	"0.9"	"10"	"11.11111111111111"	"183.55"	"16.45"	"85.3680800942285"	"2"	"250"	"1698"	"0.849"	"609"	"0.3045"	"1089"	"0.5445"	"302"	"0.151"	"225"	"0.1125"	"427"	"0.2135"	"1348"	"0.674"
"rerun_june2021"	"2000"	"200"	"20"	"0"	"None"	"250"	"stage2_dove"	"0.1"	"10"	"100"	"77.7545"	"122.2455"	"4.7025"	"2"	"10"	"2000"	"1"	"0"	"0"	"2000"	"1"	"0"	"0"	"0"	"0"	"2000"	"1"	"0"	"0"
"rerun_june2021"	"2000"	"200"	"20"	"0"	"None"	"250"	"stage2_dove"	"0.2"	"10"	"50"	"91.423"	"108.577"	"4.6405"	"2"	"11"	"2000"	"1"	"0"	"0"	"2000"	"1"	"0"	"0"	"0"	"0"	"2000"	"1"	"0"	"0"
"rerun_june2021"	"2000"	"200"	"20"	"0"	"None"	"250"	"stage2_dove"	"0.3"	"10"	"33.333333333333336"	"105.0295"	"94.9705"	"4.884"	"2"	"13"	"2000"	"1"	"0"	"0"	"2000"	"1"	"0"	"0"	"0"	"0"	"2000"	"1"	"0"	"0"
"rerun_june2021"	"2000"	"200"	"20"	"0"	"None"	"250"	"stage2_dove"	"0.4"	"10"	"25"	"118.4955"	"81.5045"	"6.2365"	"2"	"18"	"2000"	"1"	"0"	"0"	"2000"	"1"	"0"	"0"	"0"	"0"	"2000"	"1"	"0"	"0"
"rerun_june2021"	"2000"	"200"	"20"	"0"	"None"	"250"	"stage2_dove"	"0.5"	"10"	"20"	"132.142"	"67.858"	"8.8285"	"2"	"19"	"2000"	"1"	"0"	"0"	"2000"	"1"	"0"	"0"	"0"	"0"	"2000"	"1"	"0"	"0"
"rerun_june2021"	"2000"	"200"	"20"	"0"	"None"	"250"	"stage2_dove"	"0.6"	"10"	"16.666666666666668"	"145.732"	"54.268"	"11.627"	"2"	"25"	"2000"	"1"	"0"	"0"	"2000"	"1"	"0"	"0"	"0"	"0"	"2000"	"1"	"0"	"0"
"rerun_june2021"	"2000"	"200"	"20"	"0"	"None"	"250"	"stage2_dove"	"0.7"	"10"	"14.285714285714286"	"159.336"	"40.664"	"18.8905"	"2"	"37"	"2000"	"1"	"0"	"0"	"2000"	"1"	"0"	"0"	"0"	"0"	"2000"	"1"	"0"	"0"
"rerun_june2021"	"2000"	"200"	"20"	"0"	"None"	"250"	"stage2_dove"	"0.8"	"10"	"12.5"	"172.864"	"27.136"	"39.556"	"2"	"82"	"2000"	"1"	"0"	"0"	"2000"	"1"	"0"	"0"	"0"	"0"	"2000"	"1"	"0"	"0"
"rerun_june2021"	"2000"	"200"	"20"	"0"	"None"	"250"	"stage2_dove"	"0.9"	"10"	"11.11111111111111"	"186.515"	"13.485"	"163.45449649973074"	"2"	"250"	"1857"	"0.9285"	"1693"	"0.8465"	"164"	"0.082"	"143"	"0.0715"	"1256"	"0.628"	"142"	"0.071"	"602"	"0.301"
"rerun_june2021"	"2000"	"200"	"30"	"0"	"None"	"250"	"stage2_dove"	"0.1"	"10"	"100"	"96.011"	"103.989"	"7.1315"	"3"	"15"	"2000"	"1"	"0"	"0"	"2000"	"1"	"0"	"0"	"0"	"0"	"2000"	"1"	"0"	"0"
"rerun_june2021"	"2000"	"200"	"30"	"0"	"None"	"250"	"stage2_dove"	"0.2"	"10"	"50"	"107.15"	"92.85"	"7.7095"	"3"	"23"	"2000"	"1"	"0"	"0"	"2000"	"1"	"0"	"0"	"0"	"0"	"2000"	"1"	"0"	"0"
"rerun_june2021"	"2000"	"200"	"30"	"0"	"None"	"250"	"stage2_dove"	"0.3"	"10"	"33.333333333333336"	"119.3055"	"80.6945"	"10.056"	"3"	"21"	"2000"	"1"	"0"	"0"	"2000"	"1"	"0"	"0"	"0"	"0"	"2000"	"1"	"0"	"0"
"rerun_june2021"	"2000"	"200"	"30"	"0"	"None"	"250"	"stage2_dove"	"0.4"	"10"	"25"	"130.658"	"69.342"	"12.943"	"3"	"21"	"2000"	"1"	"0"	"0"	"2000"	"1"	"0"	"0"	"0"	"0"	"2000"	"1"	"0"	"0"
